year_start,year_end,location_abbr,location_desc,data_source,question,response,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,stratification_category1,stratification_value,stratification_category2,stratification2,stratification_category3,stratification3,geolocation,location_id,topic_id,question_id,response_id,data_value_type_id,stratification_category_id1,stratification_category_id2,stratification_id2,stratification_category_id3,stratification_id3
2016,2020,MN,Minnesota,US Cancer DVT,"Cervical cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,1.2,1.2,,,1.0,1.4,Overall,Overall,,,,,POINT (-94.79420050299967 46.35564873600049),27,CAN,CAN03,,AGEADJRATE,OVERALL,,,,
2016,2020,MS,Mississippi,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,"per 100,000",Age-adjusted Rate,20.0,20.0,,,18.8,21.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN02,,AGEADJRATE,RACE,,,,
2016,2020,MS,Mississippi,US Cancer DVT,"Lung and bronchial cancer mortality among all people, underlying cause",,Number,Number,1833.0,1833.0,,,0.0,0.0,Overall,Overall,,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN04,,NMBR,OVERALL,,,,
2016,2020,NE,Nebraska,US Cancer DVT,"Cervical cancer mortality among all females, underlying cause",,Number,Number,20.0,20.0,,,0.0,0.0,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-99.36572062299967 41.6410409880005),31,CAN,CAN03,,NMBR,RACE,,,,
2016,2020,NH,New Hampshire,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,622.4,622.4,,,614.1,630.9,Sex,Female,,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN07,,CRDRATE,SEX,,,,
2016,2020,NM,New Mexico,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,4697.0,4697.0,,,0.0,0.0,Sex,Male,,,,,POINT (-106.24058098499967 34.52088095200048),35,CAN,CAN07,,NMBR,SEX,,,,
2016,2020,NC,North Carolina,US Cancer DVT,"Invasive cancer (all sites combined), incidence",,Number,Number,30211.0,30211.0,,,0.0,0.0,Sex,Male,,,,,POINT (-79.15925046299964 35.466220975000454),37,CAN,CAN07,,NMBR,SEX,,,,
2016,2020,SC,South Carolina,US Cancer DVT,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Crude Rate,22.6,22.6,,,21.8,23.5,Overall,Overall,,,,,POINT (-81.04537120699968 33.998821303000454),45,CAN,CAN05,,CRDRATE,OVERALL,,,,
2016,2020,SC,South Carolina,US Cancer DVT,"Prostate cancer mortality among all males, underlying cause",,Number,Number,558.0,558.0,,,0.0,0.0,Sex,Male,,,,,POINT (-81.04537120699968 33.998821303000454),45,CAN,CAN05,,NMBR,SEX,,,,
2016,2020,SD,South Dakota,US Cancer DVT,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,Number,Number,7.0,7.0,,,0.0,0.0,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,CAN,CAN08,,NMBR,RACE,,,,
2016,2020,UT,Utah,US Cancer DVT,"Breast cancer mortality among all females, underlying cause",,Number,Number,6.0,6.0,,,0.0,0.0,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,CAN,CAN02,,NMBR,RACE,,,,
2016,2020,VT,Vermont,US Cancer DVT,"Lung and bronchial cancer mortality among all people, underlying cause",,Number,Number,158.0,158.0,,,0.0,0.0,Sex,Female,,,,,POINT (-72.51764079099962 43.62538123900049),50,CAN,CAN04,,NMBR,SEX,,,,
